City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Wilmington Island,US,78.98,clear sky,32.0,-80.97,Breezeway Studio Manor LLC
252,Margate,GB,66.69,broken clouds,51.38,1.39,Premier Inn Margate hotel
253,Klyuchi,RU,77.0,overcast clouds,52.27,79.17,Gostinitsa Luch
254,Tafresh,IR,74.91,clear sky,34.69,50.01,هتل یاس سفید
256,Eyl,SO,75.24,few clouds,7.98,49.82,DAAWAD HOTEL EYL
257,Guiratinga,BR,66.87,clear sky,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
258,Labe,GN,65.01,moderate rain,11.32,-12.28,Hôtel Djamtum
260,San Rafael Del Sur,NI,77.97,overcast clouds,11.85,-86.44,Hospedaje El Chino
263,Gizo,SB,83.44,scattered clouds,-8.1,156.84,Imagination Island
264,Los Llanos De Aridane,ES,67.75,few clouds,28.66,-17.92,Valle Aridane
266,Kirakira,SB,85.05,few clouds,-10.45,161.92,SanBiz Lodge
268,Qax,AZ,70.79,clear sky,41.42,46.92,Qax Hotel & Restoran
269,Hami,CN,75.58,scattered clouds,42.8,93.45,Laoyutang Resort
271,Virginia Beach,US,85.01,scattered clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
274,Pandan,PH,87.48,overcast clouds,14.05,124.17,Bonifacio Lodge
275,Innisfail,AU,74.03,overcast clouds,-17.53,146.03,Moondarra Motel
276,Dongsheng,CN,79.97,clear sky,39.82,109.98,Crowne Plaza Ordos
277,Kavaratti,IN,81.03,overcast clouds,10.57,72.64,Dharul Hudha
278,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
279,Catamarca,AR,65.59,overcast clouds,-28.47,-65.79,Amerian Catamarca Park Hotel
280,Arroyo,ES,66.15,clear sky,41.61,-4.8,Hotel El Jardín de la Abadía
281,Skoghall,SE,66.76,broken clouds,59.32,13.47,Mörudden Camping & Stugby
282,Kota Bahru,MY,85.95,few clouds,6.13,102.24,Grand Riverview Hotel
283,Muskogee,US,88.95,clear sky,35.58,-95.33,
286,Hamilton,US,83.66,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
287,Samarai,PG,83.03,clear sky,-10.62,150.67,Nuli Sapi
289,Lokoja,NG,72.84,light rain,7.8,6.74,Hotel Charvid
290,Kieta,PG,84.79,broken clouds,-6.22,155.63,Uruna Bay Retreat
293,San Cristobal,VE,75.38,broken clouds,7.77,-72.22,Pirineos
295,Road Town,VG,82.49,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
296,Shar,KZ,84.18,overcast clouds,49.59,81.05,
299,Port Hawkesbury,CA,67.12,clear sky,45.62,-61.35,MacKenzie House Tourist Home B&B
304,Benemerito De Las Americas,MX,75.45,overcast clouds,16.52,-90.64,Hotel Fontera Sur
305,Moncao,PT,70.7,clear sky,42.08,-8.48,Hotel Bienestar Termas de Monção
306,Sucua,EC,66.76,overcast clouds,-2.47,-78.17,Casa
307,Tabas,IR,89.49,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
309,Ternate,ID,82.27,heavy intensity rain,0.8,127.4,Sahid Bela Ternate Hotel
310,Damphu,BT,74.44,overcast clouds,27.07,90.11,
311,Apollonia,GR,69.39,clear sky,36.97,24.72,Hotel Anthousa
315,Looc,PH,85.55,heavy intensity rain,12.26,121.99,Cummings Highlands
317,Dawei,MM,77.43,light rain,14.08,98.2,Hotel Dawei
319,Torres,BR,67.82,clear sky,-29.34,-49.73,Farol Hotel
321,Kawalu,ID,75.69,overcast clouds,-7.38,108.21,West Jontor
325,Vanimo,PG,86.56,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
327,Buchanan,LR,74.34,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
328,Okoneshnikovo,RU,65.77,broken clouds,54.84,75.08,
334,Huntington,US,78.51,clear sky,38.42,-82.45,Delta Hotels by Marriott Huntington Downtown
335,Washougal,US,89.46,clear sky,45.58,-122.35,Camas Boutique Hotel
336,Pilar,BR,73.33,overcast clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
337,Buluang,PH,89.13,heavy intensity rain,13.31,123.34,Sacueza Beach Resort
339,Saint-Denis,FR,67.1,clear sky,48.92,2.33,B&B Hotel Paris Saint-Denis Pleyel
343,Nagato,JP,82.49,overcast clouds,34.38,131.2,いそう庵
344,Aripuana,BR,72.32,clear sky,-9.17,-60.63,
345,Malia,GR,75.81,clear sky,35.28,25.47,Kalypso Hotel
348,Jalu,LY,71.28,clear sky,29.03,21.55,صاحبة الفخامة
350,Komsomolskiy,UZ,86.72,clear sky,40.43,71.72,Ikathouse
354,Nabire,ID,85.98,overcast clouds,-3.37,135.48,Hotel Nusantara I
355,Kalangala,UG,65.55,clear sky,-0.31,32.23,Ssese Habitat Resort
357,Lasa,IT,65.35,scattered clouds,46.62,10.7,Pension Feldgärtenhof
358,Port-Cartier,CA,69.48,clear sky,50.03,-66.87,Le Q'Artier
362,Kahului,US,81.97,scattered clouds,20.89,-156.47,Maui Seaside Hotel
367,Turayf,SA,77.25,clear sky,31.67,38.66,Turaif
369,Port Hedland,AU,82.45,clear sky,-20.32,118.57,The Esplanade Hotel
370,Malakal,SS,72.34,light rain,9.53,31.66,Nile Palace Hotel
371,Monrovia,LR,74.97,overcast clouds,6.3,-10.8,Eco Hotel
374,Alpena,US,73.72,overcast clouds,45.06,-83.43,Big Bear Lodge
