City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Vaitape,PF,-16.52,-151.75,77.88,72,8,13.38,clear sky
164,Kodiak,US,57.79,-152.41,60.31,63,20,10.36,few clouds
165,Deputatskiy,RU,69.30,139.90,49.75,62,92,17.45,overcast clouds
166,Sakakah,SA,29.97,40.21,87.37,23,27,10.89,scattered clouds
167,Mukhen,RU,48.10,136.10,69.8,80,100,4.52,overcast clouds
168,Bredasdorp,ZA,-34.53,20.04,43.48,89,0,5.86,clear sky
169,Flinders,AU,-34.58,150.86,62.19,81,87,4.0,overcast clouds
170,Jequitinhonha,BR,-16.43,-41.00,63.91,98,29,2.33,scattered clouds
171,Ribeira Grande,PT,38.52,-28.70,72.55,85,7,3.42,clear sky
172,Tomatlan,MX,19.93,-105.25,81.14,80,71,5.73,broken clouds
173,Aklavik,CA,68.22,-135.01,62.94,50,100,9.48,overcast clouds
174,Goundam,ML,16.41,-3.67,84.81,59,97,8.86,overcast clouds
175,Lakes Entrance,AU,-37.88,147.98,54.16,65,13,12.12,few clouds
176,Gbadolite,CD,4.28,21.02,69.71,97,98,0.74,moderate rain
177,Tual,ID,-5.67,132.75,79.2,74,83,21.18,broken clouds
178,Russkiy Kameshkir,RU,52.86,46.09,60.26,79,97,10.56,overcast clouds
179,Banjar,ID,-8.19,114.97,85.06,59,67,3.78,broken clouds
180,Auxerre,FR,47.80,3.57,61.63,79,0,5.93,clear sky
181,The Valley,AI,18.22,-63.06,82.26,81,5,22.21,clear sky
182,Ola,RU,59.58,151.28,79.14,81,56,5.93,broken clouds
183,Kavieng,PG,-2.57,150.80,83.07,75,98,10.71,light rain
184,Kidal,ML,18.44,1.41,79.0,62,95,14.85,light rain
185,Afua,BR,-0.16,-50.39,74.91,93,36,4.54,scattered clouds
186,Butaritari,KI,3.07,172.79,80.92,78,95,8.55,moderate rain
187,Ostrovnoy,RU,68.05,39.51,50.58,88,30,3.47,scattered clouds
188,Auki,SB,-8.77,160.70,86.16,61,100,2.62,overcast clouds
189,Grand-Santi,GF,4.25,-54.38,71.47,98,77,2.17,broken clouds
190,Yangambi,CD,0.81,24.43,68.86,96,12,2.73,few clouds
191,Alofi,NU,-19.06,-169.92,78.69,69,40,18.41,scattered clouds
192,Chernyshevskiy,RU,63.01,112.47,64.9,66,100,2.37,overcast clouds
193,Lethem,GY,3.38,-59.80,74.64,88,70,2.93,broken clouds
194,Ust-Ishim,RU,57.69,71.17,63.91,87,100,0.94,overcast clouds
195,Mogok,MM,22.92,96.50,72.25,95,97,1.7,overcast clouds
196,Carauari,BR,-4.88,-66.90,75.81,75,88,2.04,overcast clouds
197,Rondonopolis,BR,-16.47,-54.64,70.56,38,26,3.11,scattered clouds
198,Qaqortoq,GL,60.72,-46.03,45.25,98,52,5.39,broken clouds
199,Sisimiut,GL,66.94,-53.67,50.2,88,100,8.28,light rain
200,Ngunguru,NZ,-35.62,174.50,56.07,70,14,18.9,few clouds
201,Chiredzi,ZW,-21.05,31.67,60.44,94,75,4.41,broken clouds
202,Kalmunai,LK,7.42,81.82,83.16,74,100,2.08,overcast clouds
203,Spirovo,RU,57.42,34.98,58.84,96,95,10.4,overcast clouds
204,Dikson,RU,73.51,80.55,38.16,95,100,31.74,light rain
205,Turbat,PK,26.00,63.04,83.07,78,100,10.78,overcast clouds
206,Verkhoyansk,RU,67.54,133.38,57.7,53,100,3.06,overcast clouds
207,Hokitika,NZ,-42.72,170.97,54.18,50,14,3.78,few clouds
208,Kuala Terengganu,MY,5.33,103.14,80.55,94,20,2.3,few clouds
209,Olafsvik,IS,64.89,-23.71,50.7,70,87,6.44,overcast clouds
210,Udachnyy,RU,66.42,112.40,50.45,93,100,6.24,light rain
211,Saint-Pierre,RE,-21.34,55.48,67.68,69,75,17.27,broken clouds
212,Quatre Cocos,MU,-20.21,57.76,68.11,70,91,20.92,light rain
213,Penzance,GB,50.12,-5.54,59.68,79,51,8.59,broken clouds
214,Dzaoudzi,YT,-12.79,45.27,67.89,94,0,1.14,clear sky
215,Guerrero Negro,MX,27.98,-114.06,70.86,73,7,15.41,clear sky
216,Jacksonville,US,30.33,-81.66,77.99,92,0,3.44,clear sky
217,Salalah,OM,17.02,54.09,75.29,100,100,6.91,drizzle
218,Shaunavon,CA,49.65,-108.42,73.18,55,0,4.97,clear sky
219,Caohai,CN,26.87,104.28,69.08,74,89,14.16,overcast clouds
220,Saint-Joseph,RE,-21.37,55.62,66.58,77,19,15.26,few clouds
221,Grindavik,IS,63.84,-22.43,49.95,93,75,6.91,broken clouds
222,Khatanga,RU,71.97,102.50,52.65,52,100,21.65,overcast clouds
223,Chuy,UY,-33.70,-53.46,57.81,98,77,8.7,broken clouds
224,Praia,CV,14.92,-23.51,77.54,88,40,9.22,scattered clouds
225,Bow Island,CA,49.87,-111.37,78.06,69,18,5.75,few clouds
226,Carhuamayo,PE,-10.92,-76.03,28.9,91,13,1.23,few clouds
227,Havoysund,NO,71.00,24.66,59.23,82,46,8.23,scattered clouds
228,Prachuap Khiri Khan,TH,12.22,99.75,72.93,88,100,6.73,moderate rain
229,Fairbanks,US,64.84,-147.72,69.6,50,75,11.5,broken clouds
230,Kikwit,CD,-5.04,18.82,73.18,69,5,0.49,clear sky
231,Altagracia De Orituco,VE,9.86,-66.38,70.45,95,36,2.37,scattered clouds
232,Charters Towers,AU,-20.10,146.27,73.13,50,12,8.32,few clouds
233,Agadez,NE,19.75,10.25,83.97,20,4,12.1,clear sky
234,Koryukivka,UA,51.77,32.25,56.75,74,87,11.54,overcast clouds
235,Beringovskiy,RU,63.05,179.32,45.97,68,95,12.59,overcast clouds
236,Cuamba,MZ,-14.80,36.54,63.66,74,65,1.81,broken clouds
237,Nome,US,64.50,-165.41,48.27,87,100,12.66,moderate rain
238,Iqaluit,CA,63.75,-68.51,55.13,82,75,9.22,shower rain
239,Stornoway,GB,58.21,-6.39,53.92,87,100,8.05,overcast clouds
240,Qena,EG,26.16,32.72,83.05,28,1,9.24,clear sky
241,Ontario,US,34.06,-117.65,90.39,35,40,12.66,scattered clouds
242,Anadyr,RU,64.75,177.48,50.5,71,40,17.9,light intensity shower rain
243,Garowe,SO,8.41,48.48,72.84,56,24,20.47,few clouds
244,Dunedin,NZ,-45.87,170.50,45.81,65,99,15.01,overcast clouds
245,Clyde River,CA,70.47,-68.59,35.83,100,100,10.36,light rain
246,Bambanglipuro,ID,-7.95,110.28,79.99,72,52,12.71,broken clouds
247,Poreba,PL,50.49,19.34,70.83,95,0,6.91,clear sky
248,Bastia,FR,42.67,9.33,79.3,67,0,3.44,clear sky
249,Le Passage,FR,44.20,0.60,65.75,82,0,4.61,clear sky
250,Wilmington Island,US,32.00,-80.97,78.98,90,1,7.23,clear sky
251,Solnechnyy,RU,50.72,136.63,58.42,97,100,5.39,overcast clouds
252,Margate,GB,51.38,1.39,66.69,80,80,5.01,broken clouds
253,Klyuchi,RU,52.27,79.17,77.0,52,93,16.62,overcast clouds
254,Tafresh,IR,34.69,50.01,74.91,22,0,3.62,clear sky
255,Klaksvik,FO,62.23,-6.59,49.12,91,86,18.07,overcast clouds
256,Eyl,SO,7.98,49.82,75.24,70,22,14.36,few clouds
257,Guiratinga,BR,-16.35,-53.76,66.87,43,3,4.5,clear sky
258,Labe,GN,11.32,-12.28,65.01,99,100,2.55,moderate rain
259,Coquimbo,CL,-29.95,-71.34,53.33,87,100,2.3,overcast clouds
260,San Rafael Del Sur,NI,11.85,-86.44,77.97,74,95,12.3,overcast clouds
261,Brae,GB,60.40,-1.35,52.81,79,96,18.25,overcast clouds
262,Provideniya,RU,64.38,-173.30,46.51,71,75,15.99,broken clouds
263,Gizo,SB,-8.10,156.84,83.44,70,44,1.86,scattered clouds
264,Los Llanos De Aridane,ES,28.66,-17.92,67.75,83,20,16.11,few clouds
265,Port Lincoln,AU,-34.73,135.87,56.08,62,7,14.99,clear sky
266,Kirakira,SB,-10.45,161.92,85.05,71,23,8.68,few clouds
267,Kruisfontein,ZA,-34.00,24.73,47.88,92,6,7.07,clear sky
268,Qax,AZ,41.42,46.92,70.79,57,1,1.45,clear sky
269,Hami,CN,42.80,93.45,75.58,30,27,4.23,scattered clouds
270,Fortuna,US,40.60,-124.16,57.65,87,7,3.0,clear sky
271,Virginia Beach,US,36.85,-75.98,85.01,73,40,12.66,scattered clouds
272,Luderitz,NA,-26.65,15.16,55.72,61,0,14.5,clear sky
273,Puhja,EE,58.34,26.31,57.24,96,100,6.13,overcast clouds
274,Pandan,PH,14.05,124.17,87.48,68,93,7.09,overcast clouds
275,Innisfail,AU,-17.53,146.03,74.03,71,92,8.55,overcast clouds
276,Dongsheng,CN,39.82,109.98,79.97,27,2,2.08,clear sky
277,Kavaratti,IN,10.57,72.64,81.03,79,99,19.37,overcast clouds
278,Wajima,JP,37.40,136.90,81.28,73,75,2.3,broken clouds
279,Catamarca,AR,-28.47,-65.79,65.59,57,99,1.99,overcast clouds
280,Arroyo,ES,41.61,-4.80,66.15,73,0,5.75,clear sky
281,Skoghall,SE,59.32,13.47,66.76,68,74,8.05,broken clouds
282,Kota Bahru,MY,6.13,102.24,85.95,74,20,0.0,few clouds
283,Muskogee,US,35.58,-95.33,88.95,62,0,3.44,clear sky
284,Isiro,CD,2.77,27.62,64.63,98,91,1.36,overcast clouds
285,Chokurdakh,RU,70.63,147.92,57.88,32,59,7.99,broken clouds
286,Hamilton,US,39.18,-84.53,83.66,87,0,4.0,clear sky
287,Samarai,PG,-10.62,150.67,83.03,72,4,13.09,clear sky
288,Chilca,PE,-12.52,-76.74,60.85,87,98,8.3,overcast clouds
289,Lokoja,NG,7.80,6.74,72.84,92,100,3.67,light rain
290,Kieta,PG,-6.22,155.63,84.79,65,64,5.06,broken clouds
291,Sobolevo,RU,54.43,31.90,57.58,70,95,15.37,overcast clouds
292,Usta Muhammad,PK,28.18,68.04,92.93,57,11,9.6,few clouds
293,San Cristobal,VE,7.77,-72.22,75.38,97,58,4.0,broken clouds
294,Palu,ID,-0.89,119.87,90.09,57,17,2.89,few clouds
295,Road Town,VG,18.42,-64.62,82.49,81,3,21.9,clear sky
296,Shar,KZ,49.59,81.05,84.18,20,100,22.28,overcast clouds
297,Broken Hill,AU,-31.95,141.43,48.94,91,95,15.95,overcast clouds
298,Mocuba,MZ,-16.84,36.99,61.63,95,11,2.93,few clouds
299,Port Hawkesbury,CA,45.62,-61.35,67.12,75,0,10.36,clear sky
300,Pitiquito,MX,30.70,-112.08,96.1,27,39,10.4,scattered clouds
301,Sitka,US,57.05,-135.33,55.29,82,100,9.22,light rain
302,West Wendover,US,40.74,-114.07,90.61,24,0,16.11,clear sky
303,Te Anau,NZ,-45.42,167.72,42.91,85,95,2.86,overcast clouds
304,Benemerito De Las Americas,MX,16.52,-90.64,75.45,86,89,2.35,overcast clouds
305,Moncao,PT,42.08,-8.48,70.7,80,0,4.34,clear sky
306,Sucua,EC,-2.47,-78.17,66.76,80,100,2.86,overcast clouds
307,Tabas,IR,33.60,56.92,89.49,15,0,1.66,clear sky
308,Tymovskoye,RU,50.85,142.66,56.41,97,100,5.06,overcast clouds
309,Ternate,ID,0.80,127.40,82.27,76,94,4.81,heavy intensity rain
310,Damphu,BT,27.07,90.11,74.44,92,100,1.68,overcast clouds
311,Apollonia,GR,36.97,24.72,69.39,71,0,21.52,clear sky
312,Bereda,ES,43.27,-7.54,62.58,98,98,6.44,overcast clouds
313,Rocha,UY,-34.48,-54.33,59.07,95,71,9.48,broken clouds
314,Cidreira,BR,-30.18,-50.21,61.14,95,3,13.87,clear sky
315,Looc,PH,12.26,121.99,85.55,73,100,5.12,heavy intensity rain
316,Punta De Bombon,PE,-17.17,-71.79,59.31,84,94,5.75,overcast clouds
317,Dawei,MM,14.08,98.20,77.43,94,100,10.25,light rain
318,Verkhnyaya Inta,RU,65.98,60.31,62.1,62,83,8.05,broken clouds
319,Torres,BR,-29.34,-49.73,67.82,95,0,7.7,clear sky
320,Lukulu,ZM,-14.37,23.24,56.43,72,19,5.21,few clouds
321,Kawalu,ID,-7.38,108.21,75.69,82,93,3.22,overcast clouds
322,Port Shepstone,ZA,-30.74,30.45,60.48,80,6,4.43,clear sky
323,Port Hardy,CA,50.70,-127.42,59.18,77,0,12.66,fog
324,Ilulissat,GL,69.22,-51.10,43.54,83,100,8.12,overcast clouds
325,Vanimo,PG,-2.67,141.30,86.56,64,64,8.66,broken clouds
